species,height
Lagophylla ramosissima,27
Lagophylla ramosissima,16
Lagophylla ramosissima,20
Lagophylla ramosissima,21
Lagophylla ramosissima,25
Lagophylla ramosissima,23
Lagophylla ramosissima,35
Lagophylla ramosissima,17
Lagophylla ramosissima,20
Lagophylla ramosissima,28
Lagophylla ramosissima,23
Lagophylla ramosissima,20
Croton setigerus,4
Croton setigerus,4
Croton setigerus,4
Croton setigerus,3
Croton setigerus,6
Croton setigerus,7
Croton setigerus,5
Croton setigerus,5
Croton setigerus,6
Croton setigerus,4
Croton setigerus,4
Croton setigerus,4
Croton setigerus,5
Croton setigerus,7
Croton setigerus,5
Croton setigerus,4
Croton setigerus,8
Croton setigerus,6
Croton setigerus,6
Croton setigerus,6
Croton setigerus,4
Croton setigerus,2
Croton setigerus,4
Croton setigerus,5
Croton setigerus,3
Croton setigerus,6
Croton setigerus,2
Croton setigerus,3
Croton setigerus,4
Croton setigerus,3
Croton setigerus,2
Croton setigerus,2
Croton setigerus,2
Croton setigerus,3
Croton setigerus,3
Croton setigerus,3
Croton setigerus,4
Croton setigerus,3
Croton setigerus,3
